Title,Location,Model ,KM,Fuel Type,CC,Specs,Price
Nissan Sakura 2022 G for Sale,Islamabad,2022,"17,000",Electric,20.0,Automatic,44.5lacs
Honda Civic 7th Generation (Facelift) 2006 VTi Oriel UG Prosmatec 1.6 for Sale,Karachi,2006,"156,000",Petrol,1600,Automatic,16.5lacs
Toyota Raize 2020 Z for Sale,Rawalpindi,2020,"80,000",Petrol,1000,Automatic,59.5lacs
Toyota Corolla 2017 GLi Automatic 1.3 VVTi for Sale,Rawalpindi,2017,"120,000",Petrol,1300,Automatic,40lacs
Mazda 626 1981 for Sale,Mansehra,1981,"80,000",LPG,2000,Manual,4.5lacs
Suzuki Wagon R 2015 for Sale,Karachi,2015,"60,000",Petrol,660,Automatic,25lacs
Suzuki Alto 2024 VXR for Sale,Muzaffar,2024,"4,200",Petrol,660,Manual,26.5lacs
Honda City 2013 1.3 i-VTEC for Sale,Lahore,2013,"160,000",Petrol,1300,Manual,25.5lacs
Toyota Corolla 2013 GLi Automatic 1.6 VVTi for Sale,Lahore,2013,"106,000",Petrol,1600,Automatic,32.5lacs
Suzuki Mehran 2019 VXR Euro II for Sale,Multan,2019,50,Petrol,796,Manual,15.25lacs
Toyota Yaris 2023 ATIV CVT 1.3 for Sale,Multan,2023,"23,000",Petrol,1300,Automatic,47.5lacs
Daihatsu Mira 2016 X Memorial Edition for Sale,Karachi,2016,"78,000",Petrol,660,Automatic,25.5lacs
Honda Civic Rebirth 2013 VTi Oriel 1.8 i-VTEC for Sale,Karachi,2013,"186,000",Petrol,1800,Manual,29.5lacs
Toyota Fortuner 2022 2.8 Sigma 4 for Sale,Lahore,2022,"41,000",Diesel,2800,Automatic,1.62crore
Toyota Corolla 2002 for Sale,Swabi,2002,"330,000",Petrol,1300,Automatic,15.5lacs
Toyota Corolla 2021 Altis Grande X CVT-i 1.8 Black Interior for Sale,Hyderabad,2021,"53,000",Petrol,1800,Automatic,63lacs
Suzuki Swift 2021 DLX 1.3 Navigation for Sale,Hyderabad,2021,"40,000",Petrol,1300,Manual,30lacs
Honda City 5th (GM2) Generation 2019 1.3 i-VTEC Prosmatec for Sale,Hyderabad,2019,"70,000",Petrol,1300,Automatic,37.25lacs
Suzuki Alto 2018 for Sale,Quetta,2018,"75,000",Petrol,800,Manual,13.2lacs
Toyota Fortuner 2021 2.8 Sigma 4 for Sale,Lahore,2021,"44,000",Diesel,2800,Automatic,1.49crore
