Title,Location,Model ,KM,Fuel Type,CC,Specs,Price
Suzuki Cultus 2008 VXRi for Sale,Karachi,2008,"21,000",Petrol,1000,Manual,9.25lacs
Toyota Corolla 2013 XLi VVTi for Sale 7.2/10,Rawalpindi,2013,"271,071",Petrol,1300,Manual,29lacs
Toyota Corolla 2013 GLi 1.3 VVTi for Sale,Karachi,2013,"193,000",Petrol,1300,Manual,23.5lacs
Toyota Fortuner 2018 2.8 Sigma 4 for Sale,Islamabad,2018,"55,000",Diesel,2800,Automatic,1.3crore
MG ZS EV 2021 for Sale,Lahore,2021,"26,000",Electric,44.0,Automatic,79.5lacs
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC Prosmatec for Sale,Islamabad,2018,"234,000",Petrol,1300,Automatic,34lacs
Honda Civic 2021 Oriel 1.8 i-VTEC CVT for Sale,Multan,2021,"1,235",Petrol,1800,Automatic,70.45lacs
MG HS 2021 Trophy for Sale,Lahore,2021,"46,500",Petrol,1500,Automatic,63.5lacs
Mercedes Benz E Class 5th (W213) Generation 2020 E 180 Avantgarde for Sale,Lahore,2020,"15,000",Petrol,1500,Automatic,2.9crore
Toyota Corolla 2013 XLi VVTi Limited Edition for Sale,Hyderabad,2013,"130,000",Petrol,1300,Manual,27.5lacs
Toyota Corolla 2019 GLi 1.3 VVTi for Sale,Lahore,2019,"75,500",Petrol,1300,Manual,43lacs
Suzuki Wagon R 2021 AGS for Sale,Karachi,2021,"57,000",Petrol,1000,Automatic,26.25lacs
Toyota Corolla 2016 GLi 1.3 VVTi for Sale,Islamabad,2016,"133,000",Petrol,1300,Manual,35.3lacs
Toyota Corolla 2019 GLi Automatic 1.3 VVTi for Sale,Multan,2019,"68,000",Petrol,1300,Automatic,46.5lacs
Changan Oshan X7 2022 FutureSense for Sale,Multan,2022,"32,000",Petrol,1500,Automatic,79lacs
Honda Civic 2020 1.8 i-VTEC CVT for Sale,Karachi,2020,"40,000",Petrol,1800,Automatic,50lacs
Suzuki Swift 2022 GLX CVT for Sale,Lahore,2022,"32,000",Petrol,1200,Automatic,44.5lacs
Toyota Fortuner 2023 Legender for Sale,Rawalpindi,2023,"6,000",Diesel,2800,Automatic,1.95crore
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC Prosmatec for Sale,Islamabad,2018,"144,000",Petrol,1300,Automatic,35.75lacs
Suzuki Liana 2007 LXi Sport for Sale,Lahore,2007,"65,000",Petrol,1300,Manual,19.7lacs
Lexus RX Series 2013 450h for Sale 8.8/10,Lahore,2013,"135,777",Petrol,3500,Automatic,1.16crore
Changan Kaghan XL 2008 for Sale,Karachi,2008,"50,000",Diesel,1000,Manual,9lacs
Daihatsu Mira 2020 X for Sale,Karachi,2020,"92,000",Petrol,660,Automatic,35lacs
Suzuki Alto 2020 VXL AGS for Sale,Lahore,2020,"49,500",Petrol,660,Automatic,25.25lacs
Daihatsu Mira 2019 for Sale,Karachi,2019,"33,000",Petrol,660,Automatic,32.5lacs
Suzuki Mehran 2010 VX (CNG) for Sale,Lahore,2010,"91,000",Petrol,800,Manual,9.7lacs
Toyota Corolla 2021 Altis Grande X CVT-i 1.8 Beige Interior for Sale,Faisalabad,2021,"28,000",Petrol,1800,Automatic,62.5lacs
Honda City 5th (GM2) Generation 2018 1.3 i-VTEC Prosmatec for Sale,Karachi,2018,"56,000",Petrol,1300,Automatic,36lacs
Suzuki Alto 2009 VXR for Sale,Karachi,2009,"110,000",Petrol,1000,Manual,10lacs
Daihatsu Cuore 2008 CX for Sale,Karachi,2008,"82,000",Petrol,800,Manual,8lacs
Honda Civic Reborn 2008 VTi Oriel Prosmatec 1.8 i-VTEC for Sale,Jhang,2008,"150,000",Petrol,1800,Automatic,23.45lacs
Toyota Corolla 2018 GLi Automatic 1.3 VVTi for Sale,Lahore,2018,"200,000",Petrol,1300,Automatic,40.9lacs
Toyota Corolla 2021 for Sale,Karachi,2021,"49,500",Hybrid,1800,Automatic,89.75lacs
Suzuki Mehran 1992 VX for Sale,Hyderabad,1992,"99,000",Petrol,800,Manual,3.3lacs
Audi A3 2018 1.2 TFSI Design Line for Sale,Lahore,2018,"44,000",Petrol,1200,Automatic,74.5lacs
Toyota Corolla 1989 for Sale,Muzaffarabad,1989,"145,000",Petrol,1600,Manual,11.5lacs
Toyota Fortuner 2021 2.7 V for Sale,Islamabad,2021,"15,000",Petrol,2700,Automatic,1.36crore
Honda Civic 2006 EXi Prosmatec for Sale,Karachi,2006,"77,000",Petrol,1500,Automatic,14.7lacs
Honda Civic 2021 Oriel 1.8 i-VTEC CVT for Sale,Lahore,2021,"25,000",Petrol,1800,Automatic,66.5lacs
Honda City 5th (GM2) Generation 2013 1.3 i-VTEC Prosmatec for Sale,Islamabad,2013,"90,000",Petrol,1300,Automatic,29.95lacs
Suzuki Cultus 2015 EURO II for Sale,Karachi,2015,"76,000",Petrol,1000,Manual,13.5lacs
Hyundai Sonata 2022 2.0 for Sale,Lahore,2022,"45,990",Petrol,2000,Automatic,85.6lacs
KIA Sportage 2021 AWD for Sale,Lahore,2021,"62,000",Petrol,2000,Automatic,63.5lacs
Toyota Vitz 2013 F 1.0 for Sale 5.8/10,Karachi,2013,"107,552",Petrol,1000,Automatic,26lacs
Honda City 2014 1.3 i-VTEC for Sale,Vehari,2014,"80,000",Petrol,1300,Manual,24.8lacs
Nissan Moco 2014 X Idling Stop Aero Style for Sale,Karachi,2014,"88,000",Petrol,660,Automatic,19.75lacs
Toyota Fortuner 2021 2.8 Sigma 4 for Sale,Karachi,2021,"59,000",Diesel,2800,Automatic,1.52crore
Suzuki Alto 2022 VXR for Sale,Islamabad,2022,"49,000",Petrol,660,Manual,24.25lacs
Toyota Corolla 2012 GLi Automatic Limited Edition 1.6 VVTi for Sale,Islamabad,2012,"125,000",Petrol,1600,Automatic,30.8lacs
Toyota Yaris Hatchback 2022 for Sale,Islamabad,2022,"50,000",Petrol,1000,Automatic,45.25lacs
Toyota Land Cruiser 1992 for Sale,Islamabad,1992,"314,000",Diesel,2400,Manual,26.5lacs
Mitsubishi Pajero 2001 GLS 2.8D for Sale,Islamabad,2001,"10,000",Diesel,2800,Manual,38.5lacs
Honda Civic 2021 Oriel 1.8 i-VTEC CVT for Sale,Hyderabad,2021,"29,000",Petrol,1800,Automatic,64.5lacs
Toyota Prius 2007 G Touring Selection 1.5 for Sale,Islamabad,2007,"165,000",Hybrid,1500,Automatic,27.75lacs
Honda Civic 2016 Turbo 1.5 VTEC CVT for Sale,Lahore,2016,"61,000",Petrol,1500,Automatic,53lacs
Mitsubishi Rvr 2012 G for Sale,Karachi,2012,"145,500",Petrol,1800,Automatic,29.75lacs
Honda Civic 2007 VTi Prosmatec 1.8 i-VTEC for Sale,Lahore,2007,"98,600",Petrol,1800,Automatic,18.9lacs
Daihatsu Hijet 2019 Special for Sale,Karachi,2019,"105,000",Petrol,660,Automatic,24.9lacs
Toyota Sienta 2016 G for Sale,Multan,2016,"122,000",Petrol,1500,Automatic,52lacs
Toyota Corolla 8th (E110) Generation 2001 GLi 1.6 for Sale,Karachi,2001,"556,565",Petrol,1600,Manual,26lacs
Suzuki Mehran 2011 VXR for Sale,Lahore,2011,"88,000",Petrol,800,Manual,7.7lacs
Toyota Vitz 2007 F 1.0 for Sale,Karachi,2007,"98,000",Petrol,1000,Automatic,18.7lacs
Toyota Passo 2006 G 1.0 for Sale,Islamabad,2006,"210,000",Petrol,1000,Automatic,14.25lacs
Toyota Premio 2007 F 1.5 for Sale,Karachi,2007,"192,862",Petrol,1500,Automatic,29lacs
Toyota Corolla 2014 GLi 1.3 VVTi for Sale 6.8/10,Karachi,2014,"78,874",Petrol,1300,Manual,30lacs
Toyota Corolla 8th (E110) Generation 2000 SE Limited for Sale,Peshawar,2000,"120,000",Petrol,1500,Manual,11.7lacs
Daihatsu Move 2015 L for Sale,Karachi,2015,"68,000",Petrol,660,Automatic,24.5lacs
Toyota Aqua 2021 S for Sale,Sahiwal,2021,"120,000",Hybrid,1500,Automatic,52.35lacs
Toyota Hilux 2017 Revo G Automatic 3.0 for Sale,Karachi,2017,"67,000",Diesel,2800,Automatic,89lacs
Toyota Pixis Epoch 2013 X for Sale,Karachi,2013,"105,000",Petrol,660,Automatic,14.5lacs
Suzuki Mehran 1995 VX for Sale,Sargodha,1995,"800,000",Petrol,800,Manual,4.75lacs
Suzuki Swift 2013 DX 1.3 for Sale,Sialkot,2013,"85,000",Petrol,1300,Manual,22lacs
Toyota C-HR 2018 G-LED for Sale,Karachi,2018,"82,000",Hybrid,1800,Automatic,81.5lacs
Honda Vezel 2015 Hybrid Z Style Edition for Sale,Karachi,2015,"60,000",Hybrid,1500,Automatic,49.8lacs
Toyota Passo 2007 for Sale,Wah,2007,"201,000",Petrol,1000,Automatic,20.5lacs
Porsche Cayenne 2008 for Sale 6.7/10,Faisalabad,2008,"143,166",Petrol,3600,Automatic,85lacs
Toyota Yaris 2022 ATIV MT 1.3 for Sale,Umer,2022,"95,000",Petrol,1300,Manual,42lacs
Suzuki Cultus 2021 VXR for Sale,Lahore,2021,"65,996",Petrol,1000,Manual,29.5lacs
Suzuki Cultus 2008 VXRi for Sale,Sargodha,2008,"138,000",Petrol,1000,Manual,10.9lacs
Toyota Vitz 2011 F 1.0 for Sale,Rawalpindi,2011,"130,000",Petrol,1000,Automatic,28.5lacs
Suzuki Mehran 2004 VXR for Sale,Karachi,2004,"70,000",Petrol,800,Manual,5.5lacs
United Bravo 2019 Base Grade for Sale,Islamabad,2019,"452,700",Petrol,800,Manual,8.7lacs
Suzuki Wagon R 2021 VXR for Sale,Faisalabad,2021,"55,000",Petrol,1000,Manual,25.75lacs
Suzuki Alto 2022 VXR for Sale,Karachi,2022,"53,000",Petrol,660,Manual,24.9lacs
Nissan Moco 2011 S for Sale,Islamabad,2011,"190,000",Petrol,660,Automatic,18.95lacs
Honda Civic 2016 Turbo 1.5 VTEC CVT for Sale,Faisalabad,2016,"65,000",Petrol,1500,Automatic,46.75lacs
Suzuki Swift 2024 GLX CVT for Sale,Lahore,2024,20,Petrol,1200,Automatic,49.8lacs
Honda Civic 2017 Oriel 1.8 i-VTEC CVT for Sale,Karachi,2017,"57,000",Petrol,1800,Automatic,48lacs
Honda Civic 2017 Oriel 1.8 i-VTEC CVT for Sale,Lahore,2017,"38,000",Petrol,1800,Automatic,49.75lacs
Toyota Corolla 2015 GLi Automatic 1.3 VVTi for Sale,Karachi,2015,"70,000",Petrol,1300,Automatic,33.5lacs
Toyota Yaris Hatchback 2021 for Sale,Lahore,2021,"41,000",Petrol,1000,Automatic,45.9lacs
Honda City 6th Generation 2024 1.2L CVT for Sale,Lahore,2024,150,Petrol,1200,Automatic,47.25lacs
Suzuki Wagon R 2021 AGS for Sale,Lahore,2021,"45,000",Petrol,1000,Automatic,27.9lacs
Honda N Wgn 2016 Custom G Turbo for Sale,Sialkot,2016,"89,654",Petrol,660,Automatic,27lacs
Nissan Sunny 1994 for Sale,Karachi,1994,"200,000",Petrol,1300,Manual,4lacs
Toyota C-HR 2018 G-LED for Sale,Lahore,2018,"29,000",Hybrid,1800,Automatic,78lacs
Honda Civic 2003 VTi Oriel Prosmatec 1.6 for Sale,Karachi,2003,"243,000",Petrol,1600,Automatic,15lacs
Toyota Corolla 2015 Altis Grande CVT-i 1.8 for Sale,Karachi,2015,"61,000",Petrol,1800,Automatic,42lacs
Nissan Clipper 2019 for Sale,Gujranwala,2019,"96,000",Petrol,660,Manual,25.9lacs
Daihatsu Move 2024 X SA 2 for Sale,Lahore,2024,"7,000",Petrol,658,Automatic,34.5lacs
Honda BR-V 2021 i-VTEC S for Sale,Karachi,2021,"15,260",Petrol,1500,Automatic,52lacs
Suzuki Swift 2022 GLX CVT for Sale,Lahore,2022,"12,500",Petrol,1200,Automatic,45.5lacs
Honda Vezel 2024 e-HEV Z for Sale,Lahore,2024,"30,000",Hybrid,1500,Automatic,1.19lacs
Daihatsu Mira 2014 ES for Sale,Karachi,2014,"36,287",Petrol,660,Automatic,26.5lacs
Nissan Note 2018 1.2E for Sale,Karachi,2018,"92,000",Hybrid,1198,Automatic,50.5lacs
Toyota Corolla 2015 XLi VVTi for Sale,Lahore,2015,"150,000",Petrol,1300,Manual,31.5lacs
Suzuki Mehran 2012 VX (CNG) for Sale,Rawalpindi,2012,"85,000",Petrol,800,Manual,8.7lacs
Toyota Corolla 2023 Altis Grande X CVT-i 1.8 Black Interior for Sale,Fort,2023,"30,000",Petrol,1800,Automatic,70lacs
Honda City 2001 EXi for Sale,Karachi,2001,"245,452",Petrol,1300,Manual,7.5lacs
Honda Civic 6th Generation 1997 VTi Automatic 1.6 for Sale,Qalandarabad,1997,"150,000",CNG,1600,Automatic,10.5lacs
Suzuki Swift 2019 DLX Automatic 1.3 Navigation for Sale,Rawalpindi,2019,"74,000",Petrol,1300,Automatic,30.5lacs
Honda Civic 7th Generation (Facelift) 2005 VTi 1.6 for Sale,Sialkot,2005,"200,000",Petrol,1600,Manual,15lacs
Toyota Corolla 2015 GLi Automatic 1.3 VVTi for Sale,Karachi,2015,"75,000",Petrol,1300,Automatic,34.5lacs
Suzuki Alto 2008 VXR for Sale,Karachi,2008,"10,000",Petrol,1000,Manual,7.15lacs
Honda HR-V 2024 VTi-S for Sale,Gujrat,2024,"6,800",Petrol,1500,Automatic,75lacs
Chery Tiggo 4 Pro 2022 DEX Plus 1.5T for Sale,Karachi,2022,"25,000",Petrol,1498,Automatic,54.5lacs
Toyota Corolla 2014 GLi 1.3 VVTi for Sale,Mansehra,2014,"103,000",Petrol,1300,Manual,37lacs
Suzuki Wagon R 2015 FX Limited for Sale,Islamabad,2015,"70,000",Petrol,660,Automatic,25.8lacs
Toyota Corolla 2015 Altis Automatic 1.6 for Sale,Islamabad,2015,"107,000",Petrol,1600,Automatic,40lacs
Toyota Corolla 2010 GLi 1.3 VVTi for Sale,Topi,2010,"175,000",Petrol,1300,Manual,23.5lacs
Honda Civic 2017 Oriel 1.8 i-VTEC CVT for Sale,Lahore,2017,"92,000",Petrol,1800,Automatic,48.95lacs
Honda Vezel 2017 Hybrid Z Honda Sensing for Sale,Lahore,2017,"55,321",Hybrid,1500,Automatic,66lacs
Honda Vezel 2021 e-HEV Play for Sale,Lahore,2021,"47,762",Hybrid,1500,Automatic,1.08crore
Honda Insight 2019 EX Black Style for Sale,Karachi,2019,"26,000",Hybrid,1500,Automatic,1.1crore
Toyota Corolla 2019 Altis Grande CVT-i 1.8 for Sale,Lahore,2019,"242,000",Petrol,1800,Automatic,55lacs
Suzuki Wagon R 2014 FX Limited for Sale,Karachi,2014,"72,000",Petrol,660,Automatic,22.5lacs
Honda Civic 2015 VTi Prosmatec 1.8 i-VTEC for Sale,Lahore,2015,"107,000",Petrol,1800,Automatic,34.75lacs
Honda Fit 2021 1.5 Hybrid S Package for Sale,Lahore,2021,"30,000",Hybrid,1500,Automatic,62lacs
Nissan Sakura 2023 X for Sale,Lahore,2023,"1,900",Electric,20.0,Automatic,46lacs
Daihatsu Hijet 2019 Cruise for Sale,Karachi,2019,"106,000",Petrol,660,Automatic,23.6lacs
Suzuki Mehran 2015 VX Euro II Limited Edition for Sale,Bahawalnagar,2015,"55,000",Petrol,796,Manual,11.75lacs
Honda City 5th (GM2) Generation 2020 Aspire Prosmatec 1.5 i-VTEC for Sale,Karachi,2020,"58,230",Petrol,1500,Automatic,43.5lacs
Suzuki Wagon R 2017 VXL for Sale,Sialkot,2017,"35,500",Petrol,1000,Manual,22.8lacs
Daihatsu Hijet 2014 for Sale,Karachi,2014,"109,252",Petrol,660,Automatic,18.5lacs
Honda City 5th (GM2) Generation 2018 Aspire Prosmatec 1.5 i-VTEC for Sale,Chakwal,2018,"79,000",Petrol,1500,Automatic,38.75lacs
Toyota Corolla 2011 GLi 1.3 VVTi for Sale,Karachi,2011,"119,600",Petrol,1300,Manual,22lacs
Daihatsu Move 2014 Custom X Limited for Sale,Islamabad,2014,"88,000",Petrol,660,Automatic,19.5lacs
Honda Civic Rebirth 2015 VTi Prosmatec 1.8 i-VTEC for Sale,Karachi,2015,"69,000",Petrol,1800,Automatic,35.75lacs
Toyota Corolla 2011 GLi Automatic 1.6 VVTi for Sale,Karachi,2011,"128,000",Petrol,1600,Automatic,26.5lacs
Toyota Corolla 2016 GLi Automatic 1.3 VVTi for Sale,Karachi,2016,"20,000",Petrol,1300,Automatic,16lacs
Toyota Corolla 2011 GLi 1.3 VVTi for Sale,Multan,2011,"200,000",Petrol,1300,Manual,23.5lacs
Honda BR-V 2017 i-VTEC for Sale,Islamabad,2017,"140,000",Petrol,1500,Automatic,38.5lacs
Toyota Corolla 2015 Altis Automatic 1.6 for Sale,Karachi,2015,"76,000",Petrol,1600,Automatic,41.5lacs
Honda Civic 1988 for Sale,Lahore,1988,"15,628",Petrol,1700,Manual,5.5lacs
Honda City 2014 1.3 i-VTEC for Sale,Islamabad,2014,"148,000",Petrol,1300,Manual,28.3lacs
Mercedes Benz C Class 1996 C180 for Sale,Haripur,1996,"60,000",Petrol,1800,Manual,12lacs
Honda Civic 2002 EXi for Sale,Lahore,2002,"390,000",Petrol,1500,Manual,13.75lacs
Toyota Mark X 2011 250G Four Black Leather Limited for Sale,Rawalpindi,2011,"99,000",Petrol,2500,Automatic,81lacs
Suzuki Mehran 2011 VX for Sale,Lahore,2011,15,Petrol,800,Manual,7.6lacs
Suzuki Alto 2024 VXL AGS for Sale,Islamabad,2024,"7,000",Petrol,660,Automatic,32.6lacs
Toyota Corolla 2022 Altis Grande X CVT-i 1.8 Black Interior for Sale,Chiniot,2022,"36,500",Petrol,1800,Automatic,69lacs
Hyundai Tucson 2024 AWD A/T Ultimate for Sale,Karachi,2024,"15,000",Petrol,2000,Automatic,84.5lacs
Suzuki Every Wagon 2015 for Sale,Rawalpindi,2015,"89,855",Petrol,660,Automatic,25.5lacs
Suzuki Mehran 1998 VX for Sale,Lahore,1998,"75,000",Petrol,800,Manual,3.5lacs
Suzuki Wagon R 2007 AGS for Sale,Sahiwal,2007,"86,700",Petrol,660,Automatic,15lacs
Suzuki Alto 2019 VXL AGS for Sale,Sahiwal,2019,"141,000",Petrol,660,Automatic,24.5lacs
Toyota Fortuner 2018 2.7 VVTi for Sale,Karachi,2018,"60,000",Petrol,2700,Automatic,1.08crore
Hyundai Tucson 2023 AWD A/T Ultimate for Sale 9.9/10,Karachi,2023,"15,144",Petrol,2000,Automatic,81.5lacs
Toyota Hilux 2021 Revo V Automatic 2.8 for Sale 9.2/10,Karachi,2021,"59,387",Diesel,2800,Automatic,1.14crore
Toyota Land Cruiser 2023 ZX Gasoline 3.5L for Sale,Karachi,2023,1,Petrol,3500,Automatic,7.35crore
Toyota Prius 2007 G Touring Selection 1.5 for Sale,Rawalpindi,2007,"114,000",Hybrid,1500,Automatic,27.5lacs
Daihatsu Mira 2021 X SA lll for Sale,Karachi,2021,"11,900",Petrol,660,Automatic,37.5lacs
Daihatsu Mira 2021 G SA III for Sale,Karachi,2021,"72,900",Petrol,660,Automatic,38.5lacs
KIA Sportage 2021 AWD for Sale,Lahore,2021,"64,000",Petrol,2000,Automatic,68.75lacs
Toyota Crown 1977 for Sale,Rawalpindi,1977,"125,000",Petrol,2500,Manual,7.25lacs
Toyota Land Cruiser 2016 AX for Sale,Karachi,2016,"73,000",Petrol,4600,Automatic,
Toyota Vitz 2010 for Sale,Lahore,2010,"100,000",Petrol,1000,Automatic,21lacs
Toyota Prius 2010 S Touring Selection GS 1.8 for Sale,Islamabad,2010,"150,000",Hybrid,1800,Automatic,34.8lacs
Honda Civic 2020 Oriel 1.8 i-VTEC CVT for Sale,Sadiqabad,2020,"49,000",Petrol,1800,Automatic,63.5lacs
Suzuki Cultus 2002 VXR for Sale,Islamabad,2002,"1,000",Petrol,1000,Manual,6.4lacs
Honda Civic 2003 VTi Oriel 1.6 for Sale,Islamabad,2003,"81,000",Petrol,1600,Manual,13.2lacs
Toyota Corolla 2011 GLi 1.3 VVTi for Sale,Gujrat,2011,"150,000",Petrol,1300,Manual,25.5lacs
Daihatsu Mira 2021 X SA lll for Sale,Karachi,2021,"30,000",Petrol,660,Automatic,37.5lacs
Suzuki Mehran 2006 VXR for Sale,Islamabad,2006,"999,999",Petrol,800,Manual,5.8lacs
Toyota Vitz 2014 F 1.0 for Sale,Lahore,2014,"80,000",Petrol,1000,Automatic,31.5lacs
Suzuki Mehran 2006 VXR for Sale,Sargodha,2006,"123,456",Petrol,800,Manual,5.5lacs
Suzuki Khyber 1998 for Sale,Peshawar,1998,"999,999",Petrol,1000,Manual,5.5lacs
Toyota Surf 1999 for Sale,Islamabad,1999,"280,000",Petrol,2700,Automatic,37lacs
Toyota Vitz 2018 F M Package 1.0 for Sale,Sialkot,2018,"8,100",Petrol,996,Automatic,37.75lacs
Toyota Corolla 8th (E110) Generation 2001 XE Limited for Sale,Islamabad,2001,"117,000",Petrol,1300,Manual,19.5lacs
Suzuki Mehran 1989 VXR for Sale,Karachi,1989,"12,345",Petrol,800,Manual,3.2lacs
Nissan Dayz 2022 for Sale,Karachi,2022,"6,600",Petrol,660,Automatic,33.75lacs
Toyota Passo 2016 X L Package S for Sale,Islamabad,2016,"165,000",Petrol,1000,Automatic,32lacs
Suzuki Mehran 2017 for Sale,Rawalpindi,2017,"20,920",Petrol,2580,Manual,15.5lacs
Suzuki Cultus 2019 VXR for Sale,Karachi,2019,"61,000",Petrol,1000,Manual,24lacs
Daihatsu Charade 1988 GT-ti for Sale,Gujranwala,1988,"12,345",Petrol,1000,Manual,3.1lacs
Toyota Corolla 2011 XLi VVTi for Sale,Mardan,2011,"22,338",Petrol,1300,Manual,26.5lacs
Suzuki Mehran 2006 VXR for Sale,Islamabad,2006,10,Petrol,800,Manual,6.8lacs
Toyota Corolla 2015 GLi 1.3 VVTi for Sale,Bhalwal,2015,"200,000",Petrol,1300,Manual,30lacs
Daihatsu Cuore 2008 CX Eco for Sale,Karachi,2008,"153,500",Petrol,800,Manual,8.25lacs
Suzuki Cultus 2015 EURO II for Sale,Karachi,2015,"80,000",Petrol,1000,Manual,13.8lacs
Suzuki Mehran 1992 VX for Sale,Mansehra,1992,"80,000",Petrol,800,Manual,3.5lacs
Suzuki Alto 2020 VXL AGS for Sale,Karachi,2020,"59,000",Petrol,660,Automatic,24.75lacs
KIA Sportage 2021 AWD for Sale,Mandi,2021,"74,000",Petrol,2000,Automatic,70lacs
Toyota Corolla 2023 Altis Grande X CVT-i 1.8 Black Interior for Sale,Lahore,2023,"18,000",Petrol,1800,Automatic,74lacs
Honda Civic 2021 Oriel 1.8 i-VTEC CVT for Sale,Lahore,2021,"49,000",Petrol,1800,Automatic,63.25lacs
Mitsubishi Mirage 2012 1.0 G for Sale 6.1/10,Karachi,2012,"100,664",Petrol,1000,Automatic,19.5lacs
Honda HR-V 2023 VTi-S for Sale,Lahore,2023,"17,000",Petrol,1500,Automatic,65.5lacs
Toyota Fortuner 2023 2.7 V for Sale,Lahore,2023,50,Petrol,2700,Automatic,1.71crore
Honda Fit 2011 1.5 Hybrid Smart Selection for Sale 8.6/10,Karachi,2011,"105,505",Hybrid,1500,Automatic,30lacs
Toyota Corolla 2021 Altis X Automatic 1.6 for Sale,Lahore,2021,"38,000",Petrol,1598,Automatic,54.75lacs
Changan Oshan X7 2022 FutureSense for Sale,Lahore,2022,"37,150",Petrol,1500,Automatic,75lacs
Honda Civic 2017 Oriel 1.8 i-VTEC CVT for Sale,Islamabad,2017,"99,000",Petrol,1800,Automatic,49.5lacs
Toyota C-HR 2019 S-LED for Sale,Karachi,2019,"38,900",Hybrid,1800,Automatic,78.5lacs
Hyundai Elantra 2022 GLS for Sale,Karachi,2022,"28,500",Petrol,2000,Automatic,61lacs
Suzuki Bolan 2011 VX for Sale,Lahore,2011,"107,342",Petrol,700,Manual,15lacs
Changan Karvaan 2022 Plus for Sale,Sahiwal,2022,"120,000",Petrol,1000,Manual,22.5lacs
Honda Insight 2021 EX for Sale,Lahore,2021,"45,000",Hybrid,1500,Automatic,
Suzuki Cultus 2008 VXRi for Sale,Faisalabad,2008,"80,000",Petrol,1000,Manual,8.85lacs
Honda City 5th (GM2) Generation 2019 Aspire Prosmatec 1.5 i-VTEC for Sale,Lahore,2019,"64,000",Petrol,1500,Automatic,40.5lacs
Honda Civic 2018 Oriel 1.8 i-VTEC CVT for Sale,Lahore,2018,"85,000",Petrol,1800,Automatic,48.25lacs
Audi A6 4th (C7) Generation 2018 1.8 TFSI Business Class Edition for Sale,Lahore,2018,"70,000",Petrol,1800,Automatic,1.55crore
Nissan Roox 2020 S Hybrid for Sale,Lahore,2020,"32,000",Hybrid,660,Automatic,31.75lacs
MG HS 2021 Trophy for Sale,Lahore,2021,"43,000",Petrol,1500,Automatic,60lacs
KIA Sorento 2022 3.5 FWD for Sale,Lahore,2022,"45,000",Petrol,3500,Automatic,85.5lacs
Toyota Corolla 2018 GLi Automatic 1.3 VVTi for Sale,Karachi,2018,"71,000",Petrol,1300,Automatic,41lacs
Suzuki Cultus 2007 VXR for Sale,Lahore,2007,"139,463",Petrol,1000,Manual,8.2lacs
KIA Sportage 2023 FWD for Sale,Islamabad,2023,"60,000",Petrol,2000,Automatic,71lacs
MG ZS 2021 1.5L for Sale,Rawalpindi,2021,"90,000",Petrol,1490,Automatic,52lacs
Porsche Cayenne 2006 S 4.5 for Sale,Lahore,2006,"150,000",Petrol,4500,Automatic,70lacs
Suzuki Mehran 2005 VXR for Sale,Rawalpindi,2005,"50,000",Petrol,800,Manual,7lacs
Daihatsu Mira 2012 for Sale,Karachi,2012,"50,000",Petrol,1000,Manual,7.9lacs
Suzuki Alto 2022 VX for Sale,Raiwind,2022,"29,500",Petrol,660,Manual,22.5lacs
Suzuki Alto 2008 VXR for Sale,Khuzdar,2008,"89,000",Petrol,1000,Manual,7.5lacs
Nissan Note 2018 e-Power Nismo for Sale,Karachi,2018,"115,000",Hybrid,1200,Automatic,44.25lacs
KIA Sportage 2021 AWD for Sale,Lahore,2021,"45,000",Petrol,2000,Automatic,67.5lacs
Honda City 2001 EXi S for Sale,Islamabad,2001,"200,000",Petrol,1500,Manual,11lacs
Suzuki Mehran 2007 VXR for Sale,Islamabad,2007,"25,000",Petrol,800,Manual,7.25lacs
Toyota Corolla 1998 XE-G for Sale,Islamabad,1998,"150,000",Petrol,1300,Manual,15.8lacs
Suzuki Cultus 2006 VXR for Sale,Islamabad,2006,"123,456",Petrol,1000,Manual,9lacs
Toyota Belta 2007 G 1.3 for Sale,Lahore,2007,"183,000",Petrol,1300,Automatic,26.5lacs
Honda Civic 2019 Oriel 1.8 i-VTEC CVT for Sale,Karachi,2019,"46,000",Petrol,1800,Automatic,53.5lacs
Toyota Land Cruiser 2019 ZX for Sale,Islamabad,2019,"29,000",Petrol,4600,Automatic,5.09crore
Toyota Yaris Hatchback 2022 for Sale,Lahore,2022,"24,600",Petrol,1000,Automatic,54.4lacs
Genesis GV60 2022 Standard AWD for Sale,Lahore,2022,"15,600",Electric,77.0,Automatic,3crore
Toyota Corolla 2014 GLi Limited Edition 1.3 VVTi for Sale,Islamabad,2014,"165,475",Petrol,1300,Manual,29.5lacs
Toyota C-HR 2019 G-LED for Sale,Lahore,2019,"31,780",Hybrid,1800,Automatic,84.95lacs
Suzuki Alto 2022 VX for Sale,Islamabad,2022,"17,500",Petrol,660,Manual,24.75lacs
Honda Civic Reborn 2010 VTi Prosmatec 1.8 i-VTEC for Sale,Lahore,2010,"150,000",Petrol,1800,Automatic,21.7lacs
Toyota Fortuner 2021 2.8 Sigma 4 for Sale,Lahore,2021,"46,000",Diesel,2800,Automatic,1.48crore
Toyota Prado 2019 TX L Package 2.7 for Sale,Lahore,2019,"57,000",Petrol,2700,Automatic,2.72crore
